"コード","銘柄名","市場","現在値","前日比(%)","PSR(株価売上高倍率)(倍)","PBR(株価純資産倍率)(倍)","時価総額(百万円)","売上高変化率(%)","自己資本比率(%)","株価移動平均線乖離率(%)"
"3359","ｃｏｔｔａ","東G","555","-10.0(-1.77%)","0.70","1.52","6,229","-2.58","60.83","-0.86"
"3375","ＺＯＡ","東S","1655","-122.0(-6.87%)","0.23","0.84","2,406","1.17","48.02","-4.95"
"3384","アークコア","名N","592","+3.0(+0.51%)","0.20","1.49","1,166","37.79","32.32","-0.54"
"3386","コスモ・バイオ","東S","981","-6.0(-0.61%)","0.60","0.71","5,933","3.49","78.08","-0.91"
"3422","Ｊ−ＭＡＸ","東S","538","-5.0(-0.92%)","0.12","0.31","6,379","14.66","41.71","-0.04"
"3426","アトムリビンテック","東S","1349","+0.0(+0.00%)","0.52","0.54","5,538","4.25","78.00","-0.06"
"3439","三ツ知","東S","805","+3.0(+0.37%)","0.32","0.44","4,270","0.86","55.33","-2.33"
"3440","日創プロニティ","東S","983","-45.0(-4.38%)","0.54","0.58","6,684","70.16","51.00","-4.28"
"3441","山王","東S","836","-5.0(-0.59%)","0.41","0.65","4,180","1.16","51.22","-1.11"
"3444","菊池製作所","東S","355","+0.0(+0.00%)","0.84","0.93","4,380","1.02","50.63","-0.56"
"3477","フォーライフ","東G","616","-7.0(-1.12%)","0.18","0.73","2,464","14.20","39.67","-0.03"
"3495","香陵住販","東S","1496","-20.0(-1.32%)","0.44","0.87","4,061","7.02","32.81","-1.23"
"3577","東海染工","東S","815","+2.0(+0.25%)","0.20","0.41","2,946","17.18","44.70","-0.66"
"3583","オーベクス","東S","969","-5.0(-0.51%)","0.51","0.46","2,997","-3.12","62.53","-0.41"
"3604","川本産業","東S","834","-3.0(-0.36%)","0.16","0.73","5,004","1.04","34.06","-0.88"
"3607","クラウディアＨＬＤＧ","東S","404","-5.0(-1.22%)","0.32","0.97","3,914","21.18","31.05","-0.79"
"3625","テックファームＨＬＤＧ","東G","434","-14.0(-3.13%)","0.55","1.42","3,262","4.55","53.71","-3.38"
"3775","ガイアックス","名N","407","+3.0(+0.74%)","0.79","1.56","2,172","18.25","58.75","-0.25"
