,順位,コード,名称,市場,時価総額,上場年月日,取引値,決算年月
138,139,5131,リンカーズ(株),東証GRT,2529,2022-10-26,184.0,2023/07
139,140,9563,Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ(株),東証GRT,3118,2022-10-26,423.0,2022/12
140,141,9562,ビジネスコーチ(株),東証GRT,1547,2022-10-20,1400.0,2023/09
141,142,5834,ＳＢＩリーシングサービス(株),東証GRT,25275,2022-10-19,3250.0,2023/03
142,143,6526,(株)ソシオネクスト,東証PRM,671602,2022-10-12,3768.0,2023/03
143,144,7112,(株)キューブ,東証GRT,5710,2022-10-07,940.0,2022/12
144,145,5129,(株)ＦＩＸＥＲ,東証GRT,19580,2022-10-06,1326.0,2023/08
145,146,5830,(株)いよぎんホールディングス,東証PRM,338011,2022-10-03,1078.5,2023/03
146,147,5831,(株)しずおかフィナンシャルグループ,東証PRM,819181,2022-10-03,1400.0,2023/03
147,148,5832,(株)ちゅうぎんフィナンシャルグループ,東証PRM,199368,2022-10-03,1079.0,2023/03
148,149,7111,ＩＮＥＳＴ(株),東証STD,8658,2022-10-03,79.0,2023/03
149,150,7389,(株)あいちフィナンシャルグループ,東証PRM,126447,2022-10-03,2574.0,2023/03
150,151,7795,(株)ＫＹＯＲＩＴＳＵ,東証STD,9699,2022-10-01,197.0,2023/03
151,152,5127,(株)グッピーズ,東証GRT,11997,2022-09-30,3240.0,2023/08
152,153,5126,ポーターズ(株),東証GRT,3288,2022-09-29,2091.0,2023/12
153,154,9560,(株)プログリット,東証GRT,16063,2022-09-29,1339.0,2023/08
154,155,5039,(株)キットアライブ,札幌ア,1616,2022-09-28,1290.0,2022/12
155,156,5125,(株)ファインズ,東証GRT,2652,2022-09-28,580.0,2023/06
156,157,9561,(株)グラッドキューブ,東証GRT,5187,2022-09-28,632.0,2022/12
157,158,7388,(株)ＦＰパートナー,東証PRM,149644,2022-09-22,6450.0,2023/11
158,159,5038,(株)ｅＷｅＬＬ,東証GRT,27649,2022-09-16,1848.0,2022/12
159,160,9558,ジャパニアス(株),東証GRT,14580,2022-09-13,3645.0,2023/11
160,161,2935,(株)ピックルスホールディングス,東証PRM,16652,2022-09-01,1295.0,2023/02
